City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,ocara,-4.4908,-38.5967,22.5,89,100,1.15,BR,1675828659
158,portland,45.5234,-122.6762,7.56,88,0,2.24,US,1675828522
159,college,64.8569,-147.8028,-14.01,78,75,0.0,US,1675828660
160,komsomolskiy,40.4272,71.7189,1.4,80,90,2.06,UZ,1675828660
161,carnarvon,-24.8667,113.6333,30.36,49,3,6.56,AU,1675828440
162,souillac,-20.5167,57.5167,26.21,83,40,5.14,MU,1675828661
163,vallenar,-28.5708,-70.7581,22.28,57,26,1.21,CL,1675828661
164,half moon bay,37.4636,-122.4286,12.7,75,0,4.12,US,1675828417
165,nanortalik,60.1432,-45.2371,-15.45,75,11,7.06,GL,1675828401
166,lasa,46.6166,10.7002,-4.51,79,34,0.53,IT,1675828662
167,katima mulilo,-17.5,24.2667,18.09,96,99,1.37,NA,1675828662
168,burns lake,54.2331,-125.7533,-8.32,99,80,1.66,CA,1675828663
169,hilo,19.7297,-155.09,24.6,89,100,4.63,US,1675828663
170,skibbereen,51.55,-9.2667,8.95,88,91,3.99,IE,1675828663
171,kaeo,-35.1,173.7833,25.74,64,31,3.77,NZ,1675828664
172,tiksi,71.6872,128.8694,-37.26,99,98,2.7,RU,1675828664
173,camargo,27.6667,-105.1667,14.73,24,78,4.66,MX,1675828665
174,aykhal,66.0,111.5,-35.03,99,58,0.97,RU,1675828665
175,srandakan,-7.9386,110.2506,27.08,76,100,0.42,ID,1675828665
176,narsaq,60.9167,-46.05,-27.77,66,16,4.1,GL,1675828666
177,pemba,-12.974,40.5178,24.69,87,100,3.75,MZ,1675828666
178,goure,13.9835,10.2704,17.29,23,99,4.41,NE,1675828666
179,hofn,64.2539,-15.2082,-0.21,61,100,7.24,IS,1675828667
180,coquimbo,-29.9533,-71.3436,17.85,88,100,2.57,CL,1675828397
181,shenjiamen,29.9576,122.298,9.82,76,94,5.37,CN,1675828667
182,vila franca do campo,37.7167,-25.4333,12.23,77,88,4.54,PT,1675828668
183,rio grande,-32.035,-52.0986,23.34,72,0,6.68,BR,1675828664
184,longyearbyen,78.2186,15.6401,-5.09,68,40,4.12,SJ,1675828668
185,black river,18.0264,-77.8487,21.93,84,0,2.37,JM,1675828668
186,kant,27.8,79.8,17.16,42,0,4.6,IN,1675828669
187,worland,44.0169,-107.9554,-1.36,74,0,5.14,US,1675828669
188,sechura,-5.5569,-80.8222,24.52,75,78,4.25,PE,1675828669
189,coahuayana,18.7333,-103.6833,21.35,93,19,1.56,MX,1675828670
190,tilichiki,60.4667,166.1,-28.49,90,63,4.3,RU,1675828670
191,ilulissat,69.2167,-51.1,-31.07,99,99,1.4,GL,1675828671
192,talnakh,69.4865,88.3972,-23.53,98,97,3.09,RU,1675828671
193,lompoc,34.6391,-120.4579,10.85,87,75,3.58,US,1675828393
194,nushki,29.5542,66.0215,16.35,32,100,3.32,PK,1675828671
195,taldan,53.6667,124.8,-15.77,62,26,4.17,RU,1675828672
196,ketchikan,55.3422,-131.6461,3.26,87,100,3.09,US,1675828395
197,winneba,5.3511,-0.6231,25.17,92,58,3.09,GH,1675828580
198,vanderhoof,54.0166,-124.0198,-3.52,92,100,1.86,CA,1675828534
199,quthing,-30.4,27.7003,16.18,84,100,0.83,LS,1675828673
200,monastyrshchina,54.3496,31.838,-15.48,99,63,1.96,RU,1675828673
201,keningau,5.3378,116.1602,30.17,56,95,1.07,MY,1675828673
202,kununurra,-15.7667,128.7333,36.99,44,4,3.6,AU,1675828674
203,teguldet,57.3064,88.1667,-12.42,94,100,3.08,RU,1675828674
204,lobito,-12.3481,13.5456,23.08,76,100,0.72,AO,1675828675
205,belyy yar,53.6039,91.3903,-14.06,85,100,0.0,RU,1675828675
206,dekalb,33.7504,-84.2333,13.07,69,0,0.0,US,1675828675
